GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GV5001,GV5002,GV5003,GV5004,GV5005,GV5006,GV5007,GV5008,GV5009,GV5010,GV5011,GV5012,GV5013,GV5014,GV5015,GV5016,GV5017,GV5018,GV5019,GV5020,GV5021,GV5022,GV5023,GV5024,GV5025,GV5026,GV5027,GV5028,GV5029,GV5030,GV5031,GV5032,GV5033,GV5034,GV5035,GV5036,GV5037,GV5038,GV5039,GV5040,GV5041,GV5042,GV5043,GV5044,GV5045,GV5046,GV5047,GV5048,GV5049,GV5050,GV5051,GV5052,GV5053,GV5054,GV5055,GV5056,GV5057,GV5058,GV5059,GV5060,GV5061,GV5062,GV5063,GV5064,GV5065,GV5066,GV5067,GV5068,GV5069,GV5070,GV5071
"G0100470","2000","3","6","Alabama","01","Dallas","047",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Dallas County",3,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,17,191,0,1923,0,200,15,223,48,1225,0,13,0,30,5,0,1448,13,111,0,4,0,0,0,0,0,36,0,131,10,7,0,0,494,335,0,0,5,0,0,410,53,0,0,6,3497,97,27,0,23342
"G0100490","2000","3","6","Alabama","01","DeKalb","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"DeKalb County",0,0,0,0,49,11,0,0,18,0,0,5,126,0,65,0,14,6,0,29,6,17,658,0,4477,0,188,0,584,73,2837,0,12,7,24,0,15,5671,0,459,0,13,0,0,0,0,58,116,15,184,1,5,18,16,942,527,0,0,0,0,0,17,118,42,0,24,17531,208,28,0,10195
"G0100510","2000","3","6","Alabama","01","Elmore","051",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Elmore County",15,13,0,0,66,26,0,0,9,0,44,0,281,0,56,0,9,26,0,44,12,92,632,2,4979,0,753,7,1255,132,3966,0,46,8,83,0,0,5242,0,768,0,0,0,0,0,0,0,263,9,400,54,5,89,12,1319,1070,0,21,16,2,0,274,268,68,0,30,14376,129,24,0,16775
"G0100530","2000","3","6","Alabama","01","Escambia","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Escambia County",14,0,0,0,4,7,0,8,0,0,6,9,96,0,2,0,8,7,0,0,0,8,339,0,1787,8,314,0,343,110,1474,0,14,0,0,0,0,2626,0,240,0,29,0,0,0,0,0,49,0,89,15,6,0,5,567,317,7,3,0,0,0,172,44,23,0,24,6281,56,11,0,14303
"G0100550","2000","3","6","Alabama","01","Etowah","055",,,,,,,,,,,,,"2880","9999","9999",,,,,,,,"Etowah County",12,0,0,0,64,6,0,0,25,0,0,12,261,0,57,0,33,8,0,60,0,81,1313,0,8231,0,654,26,851,103,4822,0,77,0,74,0,0,8674,0,895,0,12,0,0,0,8,0,176,44,286,20,32,87,26,1690,1358,4,0,24,0,0,576,239,49,0,15,25737,259,39,0,20274
"G0100570","2000","3","6","Alabama","01","Fayette","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Fayette County",0,0,0,0,0,0,0,0,11,0,0,0,22,0,12,0,0,0,0,5,0,5,80,0,1166,0,93,5,127,0,556,0,0,0,0,0,0,1334,0,106,0,7,0,0,0,0,23,6,4,30,0,0,13,0,181,173,0,0,3,0,0,33,0,0,0,0,5080,20,5,0,3022
"G0100590","2000","3","6","Alabama","01","Franklin","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Franklin County",0,0,0,0,8,0,0,0,5,0,0,0,35,0,6,0,0,3,0,0,0,9,234,0,2658,0,126,8,237,30,1293,0,32,0,8,0,0,2653,0,142,12,0,0,0,0,0,0,16,6,92,0,8,7,0,329,416,0,0,0,0,0,172,21,52,0,22,6672,40,2,0,5605
"G0100610","2000","3","6","Alabama","01","Geneva","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Geneva County",0,0,0,3,0,0,0,0,7,0,0,0,65,5,7,0,7,3,0,0,9,0,176,0,1631,0,96,0,240,25,911,0,37,0,2,0,0,1768,0,231,9,9,0,0,0,0,0,25,0,40,0,0,2,12,465,370,0,0,0,0,0,126,56,0,0,0,6860,33,0,0,4442
"G0100630","2000","3","6","Alabama","01","Greene","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Greene County",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,241,0,67,28,21,0,95,0,0,0,0,0,0,221,0,27,0,0,0,0,0,0,0,13,0,4,0,0,0,0,78,36,0,0,0,0,0,110,6,1,0,0,547,6,12,0,6105
"G0100650","2000","3","6","Alabama","01","Hale","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hale County",0,0,0,0,13,0,0,0,0,0,0,0,22,0,4,0,0,10,0,5,0,0,128,0,626,0,180,0,171,33,309,0,0,0,0,0,0,419,0,19,0,0,0,0,0,0,0,9,0,64,0,0,6,0,263,73,0,0,7,0,0,253,8,0,0,0,1464,12,0,0,8555
"G0100670","2000","3","6","Alabama","01","Henry","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Henry County",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,157,0,1189,0,50,0,156,31,585,0,0,0,8,0,0,1066,0,138,0,0,6,0,0,0,8,57,0,18,8,0,31,0,372,144,0,0,0,0,0,66,34,0,0,21,2326,17,2,16,5394
"G0100690","2000","3","6","Alabama","01","Houston","069",,,,,,,,,,,,,"2180","9999","9999",,,,,,,,"Houston County",4,0,0,0,86,12,0,15,70,0,0,0,397,0,82,0,0,59,0,112,36,102,736,0,6750,9,802,17,1082,223,4622,0,75,0,79,0,0,6591,0,1207,0,15,0,0,0,0,0,208,9,458,20,20,61,35,1883,1061,0,9,10,16,0,512,261,52,21,7,18781,234,68,6,25598
"G0100710","2000","3","6","Alabama","01","Jackson","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jackson County",0,0,0,0,69,0,0,0,12,0,11,27,180,0,19,0,5,1,0,2,33,19,833,0,3954,0,228,18,471,77,3173,0,37,0,60,0,5,5709,0,550,0,13,0,0,0,1,13,57,6,183,7,8,22,4,857,513,0,42,8,0,0,93,97,11,0,14,13069,170,26,0,8995
"G0100730","2000","3","6","Alabama","01","Jefferson","073",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Jefferson County",59,0,44,0,2148,43,18,31,534,10,74,160,2980,55,625,0,281,82,0,459,249,572,5731,234,54445,15,5034,239,9205,1135,35050,0,1479,18,724,0,276,43876,71,11883,72,313,7,10,0,16,309,1564,33,3237,150,188,1301,440,15003,12520,17,173,231,79,0,6162,1498,624,142,259,69498,2864,684,143,258854
"G0100750","2000","3","6","Alabama","01","Lamar","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lamar County",0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,1,0,191,0,886,0,34,0,157,0,469,0,49,0,0,0,0,1203,0,102,0,0,0,0,0,0,0,53,0,27,7,0,18,0,113,161,0,0,0,0,0,35,30,0,0,0,3306,8,0,0,2183
"G0100770","2000","3","6","Alabama","01","Lauderdale","077",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Lauderdale County",20,0,0,0,52,0,0,0,34,0,25,7,380,14,54,0,8,7,0,87,47,102,682,7,7725,0,662,124,1274,210,5522,0,59,0,46,0,12,7693,0,837,2,24,0,0,0,0,15,179,2,435,17,8,77,6,2342,1259,16,42,16,9,0,193,120,86,43,20,22673,231,41,30,14959
"G0100790","2000","3","6","Alabama","01","Lawrence","079",,,,,,,,,,,,,"2030","9999","9999",,,,,,,,"Lawrence County",0,0,0,0,14,0,0,0,38,0,0,0,25,0,1,0,0,0,0,3,0,0,200,0,1541,0,122,6,217,7,1436,0,41,0,0,0,0,2930,0,67,0,29,0,0,0,0,0,52,0,72,0,0,42,0,414,248,0,2,11,0,0,78,29,0,0,8,9151,13,0,0,8678
"G0100810","2000","3","6","Alabama","01","Lee","081",,,,,,,,,,,,,"0580","9999","9999",,,,,,,,"Lee County",48,0,1,0,263,28,0,13,94,0,19,9,804,0,93,0,0,28,0,86,106,118,1118,24,10601,11,1613,148,2216,284,8431,0,348,14,192,6,18,10246,0,2095,11,100,23,6,0,0,55,498,17,826,34,10,178,52,2950,2675,30,2,65,0,0,1023,389,175,42,65,16872,472,206,0,33420
"G0100830","2000","3","6","Alabama","01","Limestone","083",,,,,,,,,,,,,"3440","9999","9999",,,,,,,,"Limestone County",0,0,0,0,32,9,0,2,15,0,12,0,187,0,26,0,13,7,0,38,0,32,649,0,5046,0,676,33,1018,126,4683,0,28,0,61,0,0,6344,0,716,11,16,0,0,0,0,12,197,0,451,13,6,117,62,1165,952,0,0,0,0,0,683,234,20,0,22,14960,192,26,8,13905
"G0100850","2000","3","6","Alabama","01","Lowndes","085",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lowndes County",3,0,0,0,6,0,0,0,0,0,2,3,37,0,12,0,0,0,0,13,6,0,52,0,441,0,38,4,145,0,146,0,0,0,0,0,0,256,0,37,0,0,0,0,0,0,0,5,2,22,0,0,14,0,66,72,0,0,0,0,0,125,19,1,0,0,602,0,0,0,8178
"G0100870","2000","3","6","Alabama","01","Macon","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Macon County",0,0,0,0,1,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,4,4,30,0,435,0,36,12,46,0,187,8,7,8,0,0,0,352,0,50,0,10,0,0,0,0,3,7,0,10,0,0,0,0,86,43,0,0,2,0,0,465,45,3,0,0,734,20,75,0,17074
"G0100890","2000","3","6","Alabama","01","Madison","089",,,,,,,,,,,,,"3440","9999","9999",,,,,,,,"Madison County",100,0,23,7,647,156,0,24,386,3,209,0,1840,26,319,0,107,71,0,437,373,618,2995,26,29462,56,3092,287,5421,1039,26287,11,418,58,522,21,311,25507,18,5206,17,253,8,5,9,81,149,1798,14,3003,188,280,749,330,7523,5861,27,39,244,32,0,1928,1673,415,117,295,39271,1733,1491,87,82775
"G0100910","2000","3","6","Alabama","01","Marengo","091",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marengo County",7,0,0,0,12,0,0,0,0,0,3,0,37,0,29,0,0,0,0,0,0,5,80,0,983,0,156,0,184,40,421,0,10,0,0,0,0,733,0,74,0,0,0,0,0,0,0,11,0,41,0,0,3,0,223,148,0,0,7,0,0,144,0,14,0,0,3203,39,15,0,9650
"G0100930","2000","3","6","Alabama","01","Marion","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marion County",5,0,0,0,0,2,0,3,0,0,0,0,74,0,6,0,0,0,0,0,0,4,290,0,2082,0,145,27,306,11,1190,0,23,0,0,0,0,2686,0,194,0,0,0,0,0,0,0,24,2,116,0,15,0,0,332,306,0,0,13,0,0,14,39,9,0,0,9646,50,25,0,3846
"G0100950","2000","3","6","Alabama","01","Marshall","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marshall County",8,0,0,0,6,0,0,0,0,0,0,0,267,9,105,0,0,4,0,41,35,147,1121,0,8356,0,791,23,1296,143,5203,0,115,0,55,3,0,9219,0,792,0,8,3,0,0,0,7,246,7,368,9,4,64,23,1344,1397,0,0,30,0,0,17,182,103,8,46,18367,240,27,0,13154
"G0100970","2000","3","6","Alabama","01","Mobile","097",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Mobile County",175,7,0,11,1212,49,0,42,395,34,191,19,1200,28,349,0,99,169,9,221,226,494,2945,64,28295,25,2902,136,10248,1323,23857,0,1064,14,411,23,168,29671,42,5249,7,125,14,0,46,3,75,1554,50,2030,186,107,535,195,7506,5783,26,107,250,17,0,3233,1195,463,8,150,53502,1430,529,269,138371
"G0100990","2000","3","6","Alabama","01","Monroe","099",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Monroe County",17,0,0,0,10,0,0,13,0,0,0,0,49,0,37,0,0,0,0,6,8,27,128,2,1308,0,78,0,162,40,684,0,8,0,9,0,0,1496,0,101,0,0,0,0,0,0,0,18,10,65,0,0,0,0,528,295,0,0,10,0,0,344,61,12,0,7,3370,5,9,8,9306
"G0101010","2000","3","6","Alabama","01","Montgomery","101",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Montgomery County",68,0,0,26,276,44,0,62,156,0,52,56,998,6,152,0,35,53,26,172,119,204,1465,33,14921,0,1664,42,2956,680,10049,44,211,0,214,0,26,12031,0,2497,23,115,0,0,9,0,161,893,47,1061,134,62,233,144,4938,4067,25,35,109,55,0,2169,900,198,28,121,22272,894,271,31,101230
"G0101030","2000","3","6","Alabama","01","Morgan","103",,,,,,,,,,,,,"2030","9999","9999",,,,,,,,"Morgan County",3,0,22,0,89,7,0,6,58,0,47,28,249,0,50,0,41,2,0,61,55,103,1319,0,11014,0,832,46,1719,200,8602,0,84,12,108,12,31,11776,0,1261,0,64,7,8,0,0,12,404,5,721,52,27,105,55,2568,1678,0,28,40,0,0,365,452,61,7,14,22307,510,64,3,24270
"G0101050","2000","3","6","Alabama","01","Perry","105",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Perry County",0,0,0,0,0,0,0,0,8,0,0,0,20,0,19,0,0,3,0,0,0,33,36,0,275,0,0,0,4,17,193,0,0,0,0,0,0,344,0,26,0,0,0,0,0,0,0,0,0,7,0,0,0,8,39,76,0,0,8,0,0,149,0,0,0,0,1378,4,15,0,6270
"G0101070","2000","3","6","Alabama","01","Pickens","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pickens County",11,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,10,0,0,0,0,0,125,0,862,0,74,0,108,41,443,0,5,0,6,0,0,1066,0,81,0,2,0,0,0,0,0,1,0,43,3,0,0,7,255,288,0,4,0,0,0,148,9,15,0,0,2940,43,2,0,7614
"G0101090","2000","3","6","Alabama","01","Pike","109",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pike County",0,0,6,0,0,4,0,7,6,0,0,17,39,0,14,0,19,0,0,0,4,45,92,0,1783,0,229,0,251,18,1139,0,7,0,11,0,13,1283,0,244,5,0,0,0,0,0,0,25,0,59,8,0,25,0,525,388,0,0,12,0,0,327,43,19,34,8,4464,32,0,0,10666
"G0101110","2000","3","6","Alabama","01","Randolph","111",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Randolph County",0,0,0,0,6,0,0,0,0,0,0,0,88,0,15,0,0,0,0,0,0,0,298,2,1340,0,119,0,190,20,774,0,12,0,0,0,0,1505,0,164,4,0,0,0,0,0,0,72,2,52,0,0,0,0,217,243,0,0,0,0,0,77,8,35,0,0,6096,10,0,0,4927
"G0101130","2000","3","6","Alabama","01","Russell","113",,,,,,,,,,,,,"1800","9999","9999",,,,,,,,"Russell County",26,0,0,0,44,10,0,18,17,0,0,0,92,0,44,0,0,6,0,34,10,0,351,0,2223,0,137,10,522,147,2042,0,97,55,38,0,0,3626,0,466,0,6,0,0,0,12,29,166,0,156,7,21,39,21,540,378,0,5,4,5,0,305,82,10,13,15,7375,83,92,7,21275
"G0101150","2000","3","6","Alabama","01","St Clair","115",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"St. Clair County",0,0,9,0,89,0,0,0,31,0,14,3,132,0,84,0,2,12,0,19,32,34,1063,24,6371,0,436,4,911,150,3904,0,102,46,12,0,5,6186,0,949,0,11,0,0,0,0,0,203,5,312,23,16,76,3,1176,1004,14,0,15,5,0,247,188,31,0,13,13078,222,22,54,9406
"G0101170","2000","3","6","Alabama","01","Shelby","117",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Shelby County",33,0,7,2,583,0,0,13,213,16,24,0,1056,15,174,0,30,62,0,195,139,279,1924,9,18700,0,1560,129,3094,376,13718,0,484,0,190,17,31,15294,0,4462,22,93,6,2,6,0,116,795,10,1670,127,29,256,89,4521,4538,14,31,155,2,0,810,782,270,38,238,23426,866,106,42,22178
"G0101190","2000","3","6","Alabama","01","Sumter","119",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sumter County",0,0,0,0,9,0,0,0,0,0,5,0,9,0,17,0,0,0,0,0,0,4,81,0,443,0,42,0,68,28,252,0,4,0,0,0,0,375,0,41,0,0,0,0,0,0,9,3,0,39,0,0,6,0,209,38,0,0,0,0,0,122,7,5,0,0,782,16,7,0,8869
"G0101210","2000","3","6","Alabama","01","Talladega","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Talladega County",11,0,0,0,7,0,0,0,15,0,6,3,121,0,17,0,6,0,0,16,13,26,716,0,4720,0,554,0,739,29,2501,0,57,0,17,0,0,4795,7,433,0,39,0,0,0,0,0,165,0,185,13,0,23,0,1021,928,0,0,11,9,0,406,86,25,0,0,15834,247,37,5,24587
